timestamp,delta,hiAlpha,hiBeta,loAlpha,loBeta,loGamma,midGamma,theta
1476251879,16034474,11184644,1075114,411440,8389126,11142272,132567,294914
1476251879,1575415,131380,12976400,15728754,6422935,16449668,14811264,4981986
1476251883,1575584,14614901,15598004,9109989,2818567,5439718,4587609,10879332
1476251884,1575220,8126554,0,5046283,12845056,0,0,1967364
1476251885,1576682,8650814,3932198,786479,14417950,8781843,327685,15270171
1476251886,1581562,13369416,0,15990835,983040,0,0,2490831
1476251887,1574158,10747938,5832725,14876912,12779584,6946824,11010057,3997785
1476251888,1581126,2031702,2424862,11272397,10485798,851977,3276807,6292257
1476251889,1577996,13172784,3735623,12386375,9502749,0,0,11468975
1476251890,1574513,15925290,917584,4718792,15204564,4325388,1114121,11468942
1476251891,1577841,6619166,5701641,10747930,14811154,5701634,14155777,16515237
1476251892,1575482,983110,4194381,13631509,6357089,3932175,13893632,7143720
1476251893,1579905,5701869,9961643,13959186,5963991,11468861,13107237,787334
1476251895,1573128,852045,2293787,4653138,1769506,4653061,8192002,2490539
1476251896,1576224,9502793,5767208,4260139,8323127,2293792,10420243,10617328
1476251897,1576448,0,0,0,0,0,0,0
1476251898,1575163,2490499,14876745,983431,1572995,9633894,3735594,1442044
1476251899,1574350,5374034,524340,12976222,11534402,6881310,327715,15663343
1476251900,1573001,0,0,0,0,0,0,3408111
1476251901,1573740,15138849,14549003,9175062,12189704,12451845,2752523,3014854
1476251902,1575050,6029538,14417940,8389007,16646213,9568273,4980760,7996148
1476251903,1574698,3670016,0,12189762,0,0,0,8257571
1476251904,1578191,3473545,15532079,16318508,9240745,7143438,11468816,10618207
1476251905,1577324,15532112,13828131,13041744,11468888,1507347,5570569,11796984
1476251906,1580284,15335448,0,3080354,1507328,0,0,10879537
1476251907,1573153,12648507,8257544,10485818,12255245,4718594,7995395,589931
1476251908,1573791,11010074,10027029,9240664,2097178,589838,12189709,15270208
1476251909,1577919,4980782,13959315,1114246,6750320,0,0,10486086
1476251910,1573581,6160405,7012361,5832741,9699341,14417922,10289156,6094919
1476251911,1574327,16253074,16121893,15925268,1572903,1376289,655380,13697149
1476251912,1573970,12714101,6619229,10289192,16449582,8716310,3407872,4981179
1476251913,1573676,5111817,16384013,1900562,3604497,1048584,13565957,720998
1476251915,1573798,262212,13893692,6029323,1638485,5308420,15794178,8454248
1476251916,1574971,12058728,16122396,15925405,3277503,15401018,10354710,16450409
1476251917,1573888,0,0,0,0,0,0,0
1476251918,1573301,3932374,1769522,9764964,13107233,13762575,16056332,16646239
1476251919,1573029,3080394,7077911,11862083,7471137,3801106,1966094,8716402
1476251920,1574497,0,0,0,0,0,0,14156016
1476251921,1579945,4260073,10616956,14221348,2490531,7929898,3735576,10551625
1476251922,1573661,12189859,3080304,13369730,13107378,8126506,4128796,3933920
1476251923,1574769,15073280,0,16384012,0,0,0,12714104
1476251924,1576244,11141165,9568381,5570820,9830552,15794190,9699338,5833125
1476251925,1573154,2621445,2818057,4915203,7143435,458756,9437192,14680108
1476251926,1573329,2359318,0,10485813,14024704,0,0,14155947
1476251927,1574364,5374689,13762823,4325971,3932550,7536821,10223673,14223124
1476251928,1576400,589833,14811147,6422564,10551309,11665432,3997702,4063256
1476251929,1573253,4915270,4194381,10092571,7733315,0,0,13304127
1476251930,1575198,7667783,5439519,6225969,5242945,4849742,13303856,14090473
1476251931,1574772,9568899,6947394,15926123,12780108,15139049,9240699,7079439
1476251932,1577117,12779839,3604710,9371770,8978605,14352727,3670016,13632625
1476251933,1575413,4457113,10225974,2688629,4000355,4785111,197132,1574998
